random_state,train,val,test
1,0.975480460254111,1.0558238919405682,1.3824974942692219
2,0.9996063961146991,0.99568118948908,1.257649668420004
3,1.0140840272314868,1.0897985968506225,1.1911524237178701
4,0.9673085037333115,1.1996756699392939,1.352540191089066
5,1.0163169928312752,1.062564093253607,1.2836261447350283
20,1.0415611098896609,1.0964454670243844,1.3138925515714825
30,0.9954771088658111,1.2168143956921804,1.3821047815571295
51,0.9720531025957938,1.1618179653594087,1.243586544012699
6478,1.0073225235738434,0.9957367590225271,1.2669571681806833
21,1.0771708432522824,1.160193695405384,1.2939542075703456
56,0.9948114488417094,1.081879761535699,1.3502147505781639
12,1.021278749279369,0.9551865629937971,1.2188296399311054
69,0.9728564715454139,1.2315731752783512,1.2590696161310548
84,0.9694641233463841,1.1849946493250574,1.266054900662736
42,1.0281573230781047,0.9187704688729129,1.324178247593009
105,0.9989067647902274,1.2101927563683852,1.3274126707828537
1245,1.0187866366157103,1.1046999224076617,1.16477261528104
24,1.038275491173683,1.0027306212034093,1.247698725153001
19,1.0253533451602472,1.0340728259476346,1.284672297192494
65,1.018274472536001,1.1644730998345634,1.2453022585253486
